辘,轆
辚,轔
戋,戔
戗,戧
戬,戩
瓯,甌
昙,曇
昵,暱
晔,曄
晖,暉
暧,曖
贲,賁
贳,貰
贶,貺
贻,貽
贽,贄
赀,貲
赅,賅
赆,贐
赈,賑
赉,賚
赇,賕
赍,齎
赕,賧
赙,賻
觇,覘
觊,覬
觋,覡
觌,覿
觎,覦
觏,覯
觐,覲
觑,覷
牦,犛
毵,毿
氇,氌
氩,氬
氲,氳
牍,牘
肴,餚
胧,朧
胨,腖
胪,臚
胄,冑
胫,脛
脍,膾
脶,腡
腌,醃
腼,靦
腽,膃
膑,臏
膻,羶
欤,歟
飑,颮
飒,颯
飓,颶
飕,颼
飙,飆
毂,轂
齑,齏
斓,斕
炀,煬
炜,煒
炖,燉
炝,熗
烨,燁
焖,燜
焘,燾
祯,禎
禅,禪
怼,懟
悫,愨
懑,懣
戆,戇
泶,澩
矶,磯
砀,碭
砗,硨
砺,礪
砻,礱
硖,硤
硗,磽
碛,磧
碜,磣
龛,龕
眦,眥
睐,睞
睑,瞼
畲,畬
罴,羆
羁,羈
钇,釔
钋,釙
钊,釗
钌,釕
钍,釷
钏,釧
钐,釤
钔,鍆
钗,釵
钕,釹
钛,鈦
钜,鉅
钣,鈑
钤,鈐
钫,鈁
钪,鈧
钭,鈄
钯,鈀
钰,鈺
钲,鉦
钴,鈷
钶,鈳
钸,鈽
钹,鈸
钺,鉞
钼,鉬
钽,鉭
钿,鈿
铄,鑠
铈,鈰
铉,鉉
铊,鉈
铋,鉍
铌,鈮
铍,鈹
铎,鐸
铐,銬
铑,銠
铒,鉺
铕,銪
铖,鋮
铗,鋏
铙,鐃
铛,鐺
铟,銦
铠,鎧
铢,銖
铤,鋌
铧,鏵
铨,銓
铪,鉿
铩,鎩
铫,銚
铮,錚
铯,銫
铳,銃
铵,銨
铷,銣
铼,錸
铿,鏗
锃,鋥
锂,鋰
锆,鋯
锇,鋨
锉,銼
锊,鋝
锏,鐧
锒,鋃
锓,鋟
