唱,唱
商,商
渉,渉
章,章
紹,绍
訟,讼
勝,胜
掌,掌
晶,晶
焼,焼
焦,焦
硝,硝
粧,妆
詔,诏
証,证
象,象
傷,伤
奨,奨
照,照
詳,详
彰,彰
障,障
憧,憧
衝,冲
賞,赏
償,偿
礁,礁
鐘,钟
上,上
丈,丈
冗,冗
条,条
状,状
乗,乘
城,城
浄,净
剰,剰
常,常
情,情
場,场
畳,畳
蒸,蒸
縄,縄
壌,壌
嬢,嬢
錠,锭
譲,譲
醸,醸
色,色
拭,拭
食,食
植,植
殖,殖
飾,饰
触,触
嘱,嘱
織,织
職,职
辱,辱
尻,尻
心,心
申,申
伸,伸
臣,臣
芯,芯
身,身
辛,辛
侵,侵
信,信
津,津
神,神
唇,唇
娠,娠
振,振
浸,浸
真,真
針,针
深,深
紳,绅
進,进
森,森
診,诊
寝,寝
慎,慎
新,新
審,审
震,震
薪,薪
親,亲
人,人
刃,刃
仁,仁
尽,尽
迅,迅
甚,甚
陣,阵
尋,寻
腎,肾
須,须
図,図
水,水
吹,吹
垂,垂
炊,炊
帥,帅
粋,粋
衰,衰
推,推
酔,酔
遂,遂
睡,睡
穂,穂
随,随
髄,髄
枢,枢
崇,崇
数,数
据,据
杉,杉
裾,裾
寸,寸
瀬,瀬
是,是
井,井
世,世
正,正
生,生
成,成
西,西
声,声
制,制
姓,姓
征,征
性,性
青,青
斉,斉
政,政
星,星
牲,牲
省,省
凄,凄
逝,逝
清,清
盛,盛
婿,婿
晴,晴
勢,势
聖,圣
誠,诚
精,精
製,制
誓,誓
静,静
請,请
整,整
醒,醒
税,税
夕,夕
斥,斥
石,石
赤,赤
昔,昔
析,析
席,席
脊,脊
隻,只
惜,惜
戚,戚
責,责
跡,迹
積,积
績,绩
籍,籍
切,切
折,折
拙,拙
窃,窃
接,接
設,设
雪,雪
摂,摂
節,节
説,说
舌,舌
絶,绝
千,千
川,川
仙,仙
占,占
先,先
宣,宣
専,専
泉,泉
浅,浅
洗,洗
染,染
扇,扇
栓,栓
旋,旋
船,船
戦,戦
煎,煎
羨,羡
腺,腺
詮,诠
践,践
箋,笺
銭,銭
潜,潜
線,线
遷,迁
選,选
薦,荐
繊,繊
鮮,鲜
全,全
前,前
善,善
然,然
禅,禅
漸,渐
膳,膳
繕,缮
狙,狙
阻,阻
祖,祖
租,租
素,素
措,措
粗,粗
組,组
疎,疎
訴,诉
塑,塑
遡,遡
礎,础
双,双
壮,壮
早,早
争,争
走,走
奏,奏
相,相
荘,荘
草,草
送,送
倉,仓
捜,捜
挿,插
桑,桑
巣,巣
掃,扫
曹,曹
曽,曽
爽,爽
窓,窓
創,创
喪,丧
痩,痩
葬,葬
装,装
僧,僧
想,想
層,层
総,総
遭,遭
槽,槽
踪,踪
操,操
燥,燥
霜,霜
騒,騒
藻,藻
造,造
像,像
増,増
憎,憎
蔵,蔵
贈,赠
臓,臓
即,即
束,束
足,足
促,促
則,则
息,息
捉,捉
速,速
側,侧
測,测
俗,俗
族,族
属,属
賊,贼
続,続
卒,卒
率,率
存,存
村,村
孫,孙
尊,尊
損,损
遜,逊
他,他
多,多
汰,汰
打,打
妥,妥
唾,唾
堕,堕
惰,惰
駄,駄
太,太
対,対
体,体
耐,耐
待,待
怠,怠
胎,胎
退,退
帯,帯
泰,泰
堆,堆
袋,袋
逮,逮
替,替
貸,贷
隊,队
滞,滞
態,态
戴,戴
大,大
代,代
台,台
第,第
題,题
滝,滝
宅,宅
択,択
沢,沢
卓,卓
拓,拓
託,托
濯,濯
諾,诺
濁,浊
但,但
達,达
脱,脱
奪,夺
棚,棚
誰,谁
丹,丹
旦,旦
担,担
単,単
炭,炭
胆,胆
探,探
淡,淡
短,短
嘆,叹
端,端
綻,绽
誕,诞
鍛,锻
団,団
男,男
段,段
断,断
弾,弾
暖,暖
談,谈
壇,坛
地,地
池,池
知,知
値,値
恥,耻
致,致
遅,遅
痴,痴
稚,稚
置,置
緻,致
竹,竹
畜,畜
逐,逐
蓄,蓄
築,筑
秩,秩
窒,窒
茶,茶
着,着
嫡,嫡
中,中
仲,仲
虫,虫
沖,冲
宙,宙
忠,忠
抽,抽
注,注
昼,昼
柱,柱
衷,衷
酎,酎
鋳,鋳
駐,驻
著,着
貯,贮
丁,丁
弔,吊
庁,庁
兆,兆
町,町
長,长
挑,挑
帳,帐
張,张
彫,雕
眺,眺
釣,钓
頂,顶
鳥,鸟
朝,朝
貼,贴
超,超
腸,肠
跳,跳
徴,徴
嘲,嘲
潮,潮
澄,澄
調,调
聴,聴
懲,惩
直,直
勅,敕
捗,捗
沈,沉
珍,珍
朕,朕
陳,陈
賃,赁
鎮,镇
追,追
椎,椎
墜,坠
通,通
痛,痛
塚,冢
漬,渍
坪,坪
爪,爪
鶴,鹤
低,低
呈,呈
廷,廷
弟,弟
定,定
底,底
抵,抵
邸,邸
亭,亭
貞,贞
帝,帝
訂,订
庭,庭
逓,逓
停,停
偵,侦
堤,堤
提,提
程,程
艇,艇
締,缔
諦,谛
泥,泥
的,的
笛,笛
摘,摘
滴,滴
適,适
敵,敌
溺,溺
迭,迭
哲,哲
鉄,鉄
徹,彻
撤,撤
天,天
典,典
店,店
点,点
展,展
添,添
転,転
塡,塡
田,田
伝,伝
殿,殿
電,电
斗,斗
吐,吐
妬,妒
徒,徒
途,途
都,都
渡,渡
塗,涂
賭,赌
土,土
奴,奴
努,努
度,度
怒,怒
刀,刀
冬,冬
灯,灯
当,当
投,投
豆,豆
東,东
到,到
逃,逃
倒,倒
凍,冻
唐,唐
島,岛
桃,桃
討,讨
透,透
党,党
悼,悼
盗,盗
陶,陶
塔,塔
搭,搭
棟,栋
湯,汤
痘,痘
登,登
答,答
等,等
筒,筒
統,统
稲,稲
踏,踏
糖,糖
頭,头
謄,誊
藤,藤
闘,闘
騰,腾
同,同
洞,洞
胴,胴
動,动
堂,堂
童,童
道,道
働,働
銅,铜
導,导
瞳,瞳
峠,峠
匿,匿
特,特
得,得
督,督
徳,徳
篤,笃
毒,毒
独,独
読,読
栃,栃
凸,凸
突,突
届,届
屯,屯
豚,豚
頓,顿
貪,贪
鈍,钝
曇,昙
丼,丼
那,那
奈,奈
内,内
梨,梨
謎,谜
鍋,锅
南,南
軟,软
難,难
二,二
尼,尼
弐,弐
匂,匂
肉,肉
虹,虹
日,日
入,入
乳,乳
尿,尿
任,任
妊,妊
忍,忍
認,认
寧,宁
熱,热
年,年
念,念
捻,捻
粘,粘
燃,燃
悩,悩
納,纳
能,能
脳,脳
農,农
濃,浓
把,把
波,波
派,派
破,破
覇,霸
馬,马
婆,婆
罵,骂
拝,拝
杯,杯
背,背
肺,肺
俳,俳
配,配
排,排
敗,败
廃,廃
輩,辈
売,売
倍,倍
梅,梅
培,培
陪,陪
媒,媒
買,买
賠,赔
白,白
伯,伯
拍,拍
泊,泊
迫,迫
剝,剥
舶,舶
博,博
薄,薄
麦,麦
漠,漠
縛,缚
爆,爆
箱,箱
箸,箸
畑,畑
肌,肌
八,八
鉢,钵
発,発
髪,髪
伐,伐
抜,抜
罰,罚
閥,阀
反,反
半,半
氾,泛
犯,犯
帆,帆
汎,泛
伴,伴
判,判
坂,坂
阪,阪
板,板
版,版
班,班
畔,畔
般,般
販,贩
斑,斑
飯,饭
搬,搬
煩,烦
頒,颁
範,范
繁,繁
藩,藩
晩,晩
番,番
蛮,蛮
盤,盘
比,比
皮,皮
妃,妃
否,否
批,批
彼,彼
披,披
肥,肥
非,非
卑,卑
飛,飞
疲,疲
秘,秘
被,被
悲,悲
扉,扉
費,费
碑,碑
罷,罢
避,避
尾,尾
眉,眉
美,美
備,备
微,微
鼻,鼻
膝,膝
肘,肘
匹,匹
必,必
泌,泌
筆,笔
姫,姫
百,百
氷,冰
表,表
俵,俵
票,票
評,评
漂,漂
標,标
苗,苗
秒,秒
病,病
描,描
猫,猫
品,品
浜,浜
貧,贫
賓,宾
頻,频
敏,敏
瓶,瓶
不,不
夫,夫
父,父
付,付
布,布
扶,扶
府,府
怖,怖
阜,阜
附,附
訃,讣
負,负
赴,赴
浮,浮
婦,妇
符,符
富,富
普,普
腐,腐
敷,敷
膚,肤
賦,赋
譜,谱
侮,侮
武,武
部,部
舞,舞
封,封
風,风
伏,伏
服,服
副,副
幅,幅
復,复
福,福
腹,腹
複,复
覆,覆
払,払
沸,沸
仏,仏
物,物
粉,粉
紛,纷
雰,氛
噴,喷
墳,坟
憤,愤
奮,奋
分,分
文,文
聞,闻
丙,丙
平,平
兵,兵
併,并
並,并
柄,柄
陛,陛
閉,闭
塀,塀
幣,币
弊,弊
蔽,蔽
餅,饼
米,米
壁,壁
璧,璧
癖,癖
別,别
蔑,蔑
片,片
辺,辺
返,返
変,変
偏,偏
遍,遍
編,编
弁,弁
便,便
勉,勉
歩,歩
保,保
哺,哺
捕,捕
補,补
舗,铺
母,母
募,募
墓,墓
慕,慕
暮,暮
簿,簿
方,方
包,包
芳,芳
邦,邦
奉,奉
宝,宝
抱,抱
放,放
法,法
泡,泡
胞,胞
俸,俸
倣,仿
峰,峰
砲,炮
崩,崩
訪,访
報,报
蜂,蜂
豊,豊
飽,饱
褒,褒
縫,缝
亡,亡
乏,乏
忙,忙
坊,坊
妨,妨
忘,忘
防,防
房,房
肪,肪
某,某
冒,冒
剖,剖
紡,纺
望,望
傍,傍
帽,帽
棒,棒
貿,贸
貌,貌
暴,暴
膨,膨
謀,谋
頰,颊
北,北
木,木
朴,朴
牧,牧
睦,睦
僕,仆
墨,墨
撲,扑
没,没
勃,勃
堀,堀
本,本
奔,奔
翻,翻
凡,凡
盆,盆
麻,麻
摩,摩
磨,磨
魔,魔
毎,毎
妹,妹
枚,枚
昧,昧
埋,埋
幕,幕
膜,膜
枕,枕
又,又
末,末
抹,抹
万,万
満,満
慢,慢
漫,漫
未,未
味,味
魅,魅
岬,岬
密,密
蜜,蜜
脈,脉
妙,妙
民,民
眠,眠
矛,矛
務,务
無,无
夢,梦
霧,雾
娘,娘
名,名
命,命
明,明
迷,迷
冥,冥
盟,盟
銘,铭
鳴,鸣
滅,灭
免,免
面,面
綿,绵
麺,麺
茂,茂
模,模
毛,毛
妄,妄
盲,盲
耗,耗
猛,猛
網,网
目,目
黙,黙
門,门
紋,纹
問,问
冶,冶
夜,夜
野,野
弥,弥
厄,厄
役,役
約,约
訳,訳
薬,薬
躍,跃
闇,暗
由,由
油,油
喩,喩
愉,愉
諭,谕
輸,输
癒,愈
唯,唯
友,友
有,有
勇,勇
幽,幽
悠,悠
郵,邮
湧,涌
猶,犹
裕,裕
遊,游
雄,雄
誘,诱
憂,忧
融,融
優,优
与,与
予,予
余,余
誉,誉
預,预
幼,幼
用,用
羊,羊
妖,妖
洋,洋
要,要
容,容
庸,庸
揚,扬
揺,揺
葉,叶
陽,阳
溶,溶
腰,腰
様,様
瘍,疡
踊,踊
窯,窑
養,养
擁,拥
謡,謡
曜,曜
抑,抑
沃,沃
